content_key,item_type,difficulty,basis,authored_difficulty
apstat-u1-12-2a-bias-101216,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101217,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101218,mcq,Hard,hard cues=1,Medium
apstat-u1-12-2a-bias-101219,mcq,Hard,hard cues=1,Medium
apstat-u1-13-2a-design-101300,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101301,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101302,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101303,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101304,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101305,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101306,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101307,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101308,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101309,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101310,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101311,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101312,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101313,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101314,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101315,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101316,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101317,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101318,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-13-2a-design-101319,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-2-2a-variables-102000,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102001,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102002,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102003,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102004,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102005,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102006,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102007,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102008,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102009,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102010,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102011,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102012,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102013,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102014,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102015,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102016,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102017,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102018,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-2-2a-variables-102019,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy-Medium
apstat-u1-5-3a-graphs-105000,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105001,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105002,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105003,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105004,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105005,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105006,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
apstat-u1-5-3a-graphs-105007,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
